"y","x1","x2","x3","x4","x5","x6","x7","x8","fold"
56,0.3411,-0.7784,-1.0461,-0.4043,-0.3043,0.2624,1.5713,"D",8
63,-1.1294,-1.9785,-0.1947,0.2721,-0.3184,0.1072,0.4004,"A",6
36,1.433,-2.6749,0.1769,-1.7773,2.0488,-0.0672,-0.4482,"A",2
43,1.9804,0.947,-0.8787,-0.7078,0.0162,0.0843,0.2557,"C",4
92,-0.3672,0.469,-1.0576,1.4866,-2.0364,0.4824,2.0081,"A",5
67,-1.0441,2.9226,0.6779,0.1818,0.3322,0.2044,1.1244,"A",1
81,0.5697,0.6228,0.8537,2.0079,-1.8578,-0.2332,-1.2946,"A",1
63,-0.1351,-2.6103,-0.2327,0.1746,-0.4652,-1.1199,0.3082,"B",5
73,2.4016,-2.0273,0.788,2.6584,-2.8487,-0.3975,-2.0005,"B",9
54,-0.0392,-0.1476,-0.9024,-1.2551,1.1688,-0.01,0.1144,"A",4
65,0.6897,-2.9884,0.9915,0.4815,-0.2888,-1.2572,1.1994,"A",7
58,0.028,-0.3512,-0.1555,0.4568,-0.6711,1.1055,-0.3853,"A",5
45,-0.7433,-1.4344,-0.352,0.2232,-0.4349,-0.7444,-2.2197,"B",1
49,0.1888,2.6305,0.363,-0.5453,1.1835,-0.5804,-2.2262,"D",5
50,-1.805,1.295,-0.655,-0.6061,0.5081,0.7289,1.7852,"B",2
51,1.4656,-2.0215,-0.5395,-0.4504,0.4976,-1.0949,0.2041,"D",1
68,0.1533,-0.1429,-0.1002,0.6226,-0.7963,0.3695,1.5485,"B",2
48,2.1726,1.1415,1.6136,1.2055,-0.8104,-0.172,-1.0747,"D",9
53,0.4755,-0.2346,-0.4812,0.4256,-0.8503,0.2279,1.1884,"C",7
42,-0.7099,2.7309,0.5167,-0.4679,0.5511,0.4391,1.8357,"D",2
45,0.6107,1.2752,1.1142,0.8398,-0.2548,-0.4792,-1.883,"A",3
45,-0.9341,-0.6171,-0.3577,0.2144,-0.1976,-0.3529,-1.4393,"C",9
82,-1.2536,-2.2937,1.4083,1.0994,-0.5976,-1.4985,2.1507,"D",3
43,0.2914,-1.5593,0.7838,-0.1371,0.4157,-0.4805,-1.7341,"B",4
67,-0.4433,2.1818,0.3099,-0.0787,0.4673,0.1901,1.0138,"B",7
60,0.0011,-0.3841,1.6158,0.0209,0.8826,0.2525,1.5432,"C",10
52,0.0743,-0.0128,-1.3564,0.263,-1.1366,1.0135,0.0055,"B",1
34,-0.5895,1.1516,-2.0761,-1.585,1.0275,0.0323,0.1657,"C",6
59,-0.5687,1.5619,-1.5104,-0.7278,-0.0685,0.2318,1.7186,"A",9
38,-0.1352,-2.0676,-0.645,-1.0236,1.1219,0.0374,0.2213,"B",4
56,1.1781,2.0967,1.8301,0.744,-0.0732,-0.2434,-1.3952,"B",9
60,-1.5236,2.6809,1.1417,-0.244,0.9968,0.3745,1.6863,"A",7
56,0.5939,0.5305,-0.4228,-1.109,1.301,0.2321,1.4371,"B",4
58,0.333,0.0135,0.7467,-0.1106,0.2973,0.0647,0.8071,"D",10
72,1.0631,-1.8613,1.2754,2.1595,-1.8917,-0.4077,-1.798,"D",5
47,-0.3042,-2.989,0.1307,-0.3833,0.5233,-0.0201,-0.1726,"A",8
78,0.37,2.2655,1.5105,1.9239,-1.4216,0.3907,2.2579,"D",9
78,0.2671,-2.1953,-0.012,0.7938,-1.1309,0.3382,1.5429,"A",7
31,-0.5425,-2.8636,-1.0875,-1.3041,0.9974,-0.2413,-1.0984,"D",1
36,1.2079,2.6348,-0.5555,-0.4914,0.5579,-0.3346,-1.7712,"C",8
47,1.1604,-1.2423,0.3266,-1.1652,1.646,0.2564,1.1868,"A",2
80,0.7002,-2.014,-1.0119,-0.169,-0.1923,0.5245,2.2437,"B",6
74,1.5868,-0.6054,-1.5121,0.2331,-1.1542,0.0605,0.0012,"A",7
58,0.5585,-0.2425,1.2227,0.7845,-0.4896,-0.1566,-0.9673,"D",9
35,-1.2766,-0.3958,-1.6607,-1.5304,0.9774,-0.4403,-1.9348,"B",8
67,-0.5733,0.1021,-0.3141,-0.1147,-0.2567,-0.2096,-1.265,"B",3
51,-1.2246,2.0775,1.2442,0.4406,-0.3436,-0.7414,-1.9157,"A",6
26,-0.4734,-2.669,-1.185,-0.7148,0.4501,-0.3487,-1.8591,"D",10
68,-0.6204,0.3251,-0.9237,-1.1336,0.6918,0.5675,1.6713,"A",3
47,0.0421,1.1297,-0.0483,-2.1334,2.2658,0.556,2.3752,"C",8
57,-0.9109,0.9483,0.7583,0.6448,-0.1966,-0.4354,-2.3017,"D",10
47,0.158,0.9801,0.6655,0.3515,-0.0719,0.1054,0.2005,"C",5
65,-0.6546,-0.1666,0.192,0.3746,-0.4677,0.0347,0.3473,"C",6
48,1.7673,2.8172,-0.6029,0.4352,-0.8988,-0.8313,-1.0251,"B",2
79,0.7167,-0.5868,-0.871,0.4303,-1.085,0.4054,1.8364,"C",5
60,0.9102,2.0973,-0.0097,0.3896,-0.3013,-0.9562,-0.5807,"D",2
38,0.3842,1.5399,0.5343,-1.5089,2.2865,-0.6234,-1.7661,"A",3
88,1.6822,0.1956,0.6871,0.5392,-0.6086,0.4991,2.2743,"B",1
37,-0.6357,2.2449,0.3661,0.4036,-0.2322,-0.2704,-1.7685,"B",2
45,-0.4616,-0.1973,-0.2042,-0.6124,0.7778,-0.1082,-0.3769,"B",9
29,1.4323,-2.9512,-1.0529,-1.0387,0.8289,-0.811,-1.2625,"A",2
60,-0.6507,1.3666,-0.4593,0.6653,-1.5193,-0.7255,-1.7121,"C",9
64,-0.2074,1.2995,2.3574,0.3073,0.8654,0.1755,1.2578,"A",8
45,-0.3928,-1.8754,-0.734,-0.3322,0.3747,-0.0873,-0.3297,"C",8
39,-0.32,0.8764,-0.922,-0.9277,0.7873,-0.2957,-1.2949,"C",5
61,-0.2791,0.2519,-1.1236,0.2314,-1.2151,-0.667,-1.876,"D",6
68,0.4942,-0.9881,0.8122,1.3041,-1.4716,-0.5486,-1.8391,"A",10
58,-0.1773,0.8275,-1.3266,-1.6434,1.392,1.0181,0.2338,"A",10
28,-0.506,1.9752,-1.1289,-1.4241,1.1067,-0.1632,-1.0442,"A",1
78,1.343,1.2539,-0.9136,0.9037,-1.4353,0.387,2.1859,"D",3
86,-0.2146,-0.9087,1.3763,-0.0309,0.8442,0.3925,1.8797,"A",4
68,-0.1796,-2.23,2.4811,1.6383,-0.6493,0.3816,1.8104,"B",4
50,-0.1002,-0.6715,0.1385,-0.5978,0.8466,0.1474,0.9617,"A",2
25,0.7127,2.5691,-1.8941,-1.5164,0.8653,-0.6262,-1.8281,"D",5
71,-0.0736,1.8263,1.6592,1.4777,-1.1501,-0.5048,-2.138,"A",8
69,-0.0376,1.5522,0.2423,0.9818,-0.6435,0.3757,1.7957,"C",5
43,-0.6817,2.7435,0.231,0.5448,-0.8065,-0.6542,-1.3272,"D",3
72,-0.3243,2.9635,1.4743,0.5848,0.0813,0.2638,1.408,"C",2
73,0.0602,0.6386,0.4305,2.0602,-2.4051,-0.2668,-1.4944,"B",7
49,-0.5889,-2.8237,-0.7786,-0.3184,0.3,-0.1992,-0.9784,"C",1
46,0.5315,-0.9813,0.4193,1.6541,-1.6229,-0.3948,-1.7722,"A",3
65,-1.5184,-1.3341,0.0515,-0.0221,-0.0489,-0.1151,-0.7845,"A",6
75,0.3066,-2.2968,-1.5815,-0.4679,-0.2491,0.4386,1.7188,"A",2
53,-1.5364,-2.7407,-0.4413,0.3384,-0.4427,0.2269,1.4281,"B",10
39,-0.301,-0.7781,-0.127,-0.7541,1.2738,-0.1162,-0.6596,"B",10
80,-0.5283,-0.9787,0.3564,0.0189,0.2273,0.435,2.0262,"C",3
65,-0.6521,-1.9581,-0.2706,0.6249,-1.1109,0.828,1.1642,"B",8
59,-0.0569,0.7306,0.0318,-0.7598,0.7721,-0.0032,-0.3495,"A",9
72,-1.9144,-0.6129,-1.619,0.7564,-1.4459,0.2352,1.311,"C",8
31,1.1766,2.7341,-1.3466,-1.9075,1.2329,0.1391,1.2888,"D",4
46,-1.665,0.9201,0.4395,0.2177,0.5368,-0.489,-2.2816,"B",7
36,-0.4635,-1.0275,-1.0472,-0.8252,0.3968,-0.4633,-2.1643,"A",4
29,-1.1159,-1.8171,-0.1459,-0.2384,0.1301,0.9599,0.2507,"D",1
100,-0.7508,-2.3079,0.7704,3.1108,-3.3847,0.4406,1.8654,"A",2
71,2.0872,2.9758,1.5024,1.3774,-0.7046,0.371,2.0705,"D",4
62,0.0174,-0.7243,-1.1258,0.57,-1.2617,0.0738,0.4085,"A",1
60,-1.2863,0.3719,-0.3292,-0.3721,-0.0829,0.2427,1.2798,"D",7
78,-1.6406,1.3963,1.334,2.3755,-2.1341,0.0759,0.1939,"C",7
39,0.4502,2.2248,-0.602,-0.924,0.8935,0.021,0.139,"C",2
60,-0.0186,0.433,-0.2468,0.7095,-0.8875,0.1117,0.8649,"D",3
54,-0.3181,-2.9338,1.9095,0.5429,0.1831,-0.5052,-1.5449,"D",5
73,-0.9294,2.4379,0.03,1.4509,-2.2106,1.2006,-0.6254,"A",10
82,-1.4875,1.6239,1.1581,1.4026,-1.1564,0.401,1.6922,"B",3
59,-1.0752,-0.705,-2.2172,0.0642,-1.465,-0.1256,-0.8365,"B",7
71,1,-2.4357,-0.3053,-0.5687,0.3926,0.6064,2.06,"D",6
64,-0.6213,-2.7021,1.7961,1.975,-1.6299,-0.3136,-1.6182,"C",2
60,-1.3844,1.927,-0.1429,1.0392,-1.4327,0.8556,1.1425,"B",10
46,1.8693,1.9759,0.19,-0.6051,0.7922,-0.1972,-1.3778,"A",3
65,0.4251,0.9284,0.5183,0.4928,-0.1771,-1.1607,0.5829,"A",9
36,-0.2386,-2.203,-0.7225,-2.1389,2.4244,0.6821,1.593,"B",9
58,1.0585,-0.9491,-1.425,-1.2467,0.6115,0.5661,1.798,"A",6
50,0.8864,1.3882,-1.1111,-0.5523,0.0167,-0.3872,-1.9786,"B",8
49,-0.6192,2.4437,-1.3503,0.1429,-0.8469,-0.7052,-1.7935,"A",5
27,2.2061,1.1772,-0.4765,-0.1431,0.1748,-0.9173,-0.7611,"D",5
81,-0.255,-1.5505,-0.5426,0.787,-1.2769,-0.1345,-0.6586,"A",9
47,-1.4245,0.8646,0.1666,-0.808,0.7729,-0.917,-0.8635,"C",7
43,-0.1444,-1.3155,-0.927,-1.458,1.3339,-0.4072,-2.0508,"C",9
39,0.2075,2.7458,0.9417,-1.2336,2.013,0.0818,0.809,"A",3
79,2.308,-2.0496,-0.4012,1.0296,-1.1606,0.4278,2.1167,"B",6
53,0.1058,-0.49,1.9411,1.5587,-0.7975,-0.41,-1.7456,"A",5
56,0.457,-1.4879,-0.3028,0.0939,-0.3964,-0.0618,-0.0287,"B",8
59,-0.0772,-2.4337,-1.3709,-0.3766,-0.3659,0.1275,0.5508,"A",7
45,-0.334,1.9663,-0.4379,-1.4227,1.4212,0.8595,1.4776,"A",8
69,-0.0347,0.1518,-0.22,1.4223,-1.839,-0.4793,-1.7371,"A",1
54,0.7876,1.0065,-1.0404,-0.2775,-0.1936,-0.8022,-1.28,"D",3
61,2.0752,-0.5503,-0.7383,-0.1091,-0.0995,-0.9228,-0.6043,"A",6
46,1.0274,2.0555,-0.637,-1.1756,1.1604,0.2779,1.493,"B",2
51,1.2079,1.4238,-0.7208,0.0649,-0.5416,-0.0301,-0.2023,"D",4
57,-1.2313,-0.9107,1.0802,0.2071,0.1608,0.386,1.5169,"A",10
68,0.9839,2.6936,-0.1724,1.272,-1.5448,-0.0704,-0.2709,"B",3
49,0.2199,0.8801,0.5053,0.495,-0.3457,0.1965,1.5406,"B",1
41,-1.4673,-2.7883,0.3391,0.3653,-0.2313,0.1121,1.078,"D",2
38,0.521,0.5787,-2.3863,-2.177,1.5842,0.0118,0.1046,"C",4
34,-0.1588,-0.5081,-1.9928,-2.2626,2.0246,-0.3115,-1.6301,"D",4
47,1.4646,-2.5386,-0.3505,0.1325,-0.5312,0.631,1.9335,"D",1
73,-0.7661,0.1683,1.3492,1.1067,-0.3232,-0.2029,-0.9144,"A",6
80,-0.4302,2.774,2.499,1.7878,-0.9991,0.3334,1.9786,"B",9
49,-0.9261,1.2524,-1.1315,-0.4207,-0.0503,0.0823,0.5705,"B",5
63,-0.1771,0.3209,1.4093,1.0403,-0.4714,0.8908,1.1274,"C",1
30,0.402,-1.5423,-1.5477,-2.2894,1.9255,0.3556,1.7459,"D",7
69,-0.7317,1.6683,-0.9497,1.1251,-1.6479,-0.1688,-0.8708,"A",1
62,0.8304,0.9116,-0.6187,-0.1132,-0.3202,-0.0046,0.2097,"B",4
0,-1.2081,1.9815,-2.1794,-3.7666,3.5748,-0.0627,0.3542,"D",2
53,-1.048,0.8913,0.8382,1.092,-0.8907,-1.0454,-0.0214,"C",1
73,1.4412,-0.121,-2.008,-0.2178,-1.0006,0.8487,0.9882,"C",3
68,-1.0158,-0.0296,1.1206,1.1602,-0.5934,0.5319,2.0885,"D",6
20,0.412,-0.7208,0.3398,-0.5585,0.4879,-0.3833,-1.9066,"D",7
69,-0.3811,-0.2971,0.3632,0.8462,-0.9421,0.191,1.2114,"B",6
